:START_ID|:END_ID|:TYPE
nm0656842|tt0316356|WROTE
nm0998086|tt0316356|WROTE
nm0149290|tt0316654|WROTE
nm0498278|tt0316654|WROTE
nm0228492|tt0316654|WROTE
nm0332184|tt0316654|WROTE
nm0587692|tt0316654|WROTE
nm1198436|tt0317219|WROTE
nm0460146|tt0317219|WROTE
nm1557594|tt0317219|WROTE
nm1195697|tt0317219|WROTE
nm0513130|tt0317248|WROTE
nm1130251|tt0317248|WROTE
nm0448392|tt0317740|WROTE
nm0694526|tt0317740|WROTE
nm0694638|tt0317740|WROTE
nm0346466|tt0318462|WROTE
nm1424928|tt0318462|WROTE
nm1433580|tt0318462|WROTE
nm1180620|tt0319061|WROTE
nm0041864|tt0319061|WROTE
nm0063953|tt0319754|WROTE
nm1183871|tt0319758|WROTE
nm0152501|tt0319758|WROTE
nm0788234|tt0319758|WROTE
nm0786694|tt0319758|WROTE
nm1184258|tt0320661|WROTE
nm0340485|tt0320691|WROTE
nm0564286|tt0320691|WROTE
nm0638913|tt0324013|WROTE
nm0590813|tt0324554|WROTE
nm0101625|tt0324554|WROTE
nm0517589|tt0325710|WROTE
nm0380980|tt0325710|WROTE
nm1201715|tt0325805|WROTE
nm1206007|tt0325805|WROTE
nm0341372|tt0325805|WROTE
nm0254645|tt0325980|WROTE
nm0744429|tt0325980|WROTE
nm0064181|tt0325980|WROTE
nm0938684|tt0325980|WROTE
nm0001338|tt0327056|WROTE
nm1212331|tt0327056|WROTE
nm0301274|tt0327597|WROTE
nm0286163|tt0327890|WROTE
nm0502727|tt0327890|WROTE
nm0704031|tt0328107|WROTE
nm0001338|tt0328107|WROTE
nm0769627|tt0329390|WROTE
nm0104701|tt0329390|WROTE
nm0662582|tt0329390|WROTE
nm0329051|tt0329390|WROTE
nm0375355|tt0329390|WROTE
nm1227780|tt0329575|WROTE
nm0460141|tt0330373|WROTE
nm0746830|tt0330373|WROTE
nm0505230|tt0332280|WROTE
nm0764982|tt0332280|WROTE
nm0817023|tt0332280|WROTE
nm0392955|tt0332452|WROTE
nm1125275|tt0332452|WROTE
nm0280179|tt0335345|WROTE
nm0093560|tt0337978|WROTE
nm0545861|tt0337978|WROTE
nm1985343|tt0337978|WROTE
nm0861636|tt0337978|WROTE
nm0442109|tt0338013|WROTE
nm1410028|tt0338013|WROTE
nm0449499|tt0338109|WROTE
nm1359555|tt0338139|WROTE
nm0548736|tt0338139|WROTE
nm0098316|tt0338139|WROTE
nm0802027|tt0338139|WROTE
nm1290975|tt0338434|WROTE
nm0159039|tt0338564|WROTE
nm0517589|tt0338751|WROTE
nm0000108|tt0342258|WROTE
nm0899113|tt0343818|WROTE
nm0326040|tt0343818|WROTE
nm0001920|tt0343818|WROTE
nm0418469|tt0344510|WROTE
nm0491011|tt0344510|WROTE
nm1268985|tt0345591|WROTE
nm1031745|tt0345591|WROTE
